,Real,Pred
0,0,4
1,2,4
2,4,4
3,1,4
4,3,4
5,0,4
6,4,4
7,0,4
8,2,4
9,0,4
10,1,4
11,0,4
12,4,4
13,0,4
14,0,4
15,3,4
16,0,4
17,1,4
18,1,4
19,0,4
20,1,4
21,3,4
22,2,4
23,1,4
24,0,4
25,0,4
26,0,4
27,1,4
28,0,4
29,0,4
30,0,4
31,0,4
32,0,0
33,0,4
34,1,4
35,0,4
36,0,4
37,1,4
38,2,4
39,0,4
40,0,4
41,2,4
42,0,4
0,4,0
1,4,0
2,4,0
3,3,0
4,3,0
5,3,0
6,1,0
7,3,0
8,0,0
9,0,0
10,1,0
11,1,0
12,2,0
13,0,0
14,1,0
15,1,0
16,2,0
17,0,0
18,0,0
19,0,0
20,1,0
21,0,0
22,0,0
23,2,0
24,1,0
25,0,0
26,0,0
27,1,0
28,0,0
29,1,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,2,0
40,0,0
41,0,0
42,0,0
0,4,7
1,4,7
2,4,7
3,3,7
4,3,7
5,3,7
6,3,7
7,1,7
8,1,7
9,1,7
10,2,7
11,1,7
12,2,7
13,1,7
14,2,7
15,1,7
16,1,7
17,2,7
18,1,7
19,1,7
20,0,7
21,0,7
22,0,7
23,0,7
24,0,7
25,0,7
26,0,7
27,0,7
28,0,7
29,0,7
30,0,7
31,0,8
32,0,7
33,0,7
34,0,7
35,0,7
36,0,7
37,0,7
38,0,7
39,0,8
40,0,7
41,0,7
42,0,7
0,4,7
1,4,7
2,4,7
3,3,7
4,3,7
5,1,7
6,1,7
7,1,7
8,1,7
9,3,7
10,1,7
11,1,7
12,2,7
13,2,7
14,1,7
15,1,7
16,2,7
17,0,7
18,0,7
19,0,8
20,0,7
21,0,7
22,0,7
23,0,7
24,0,7
25,0,8
26,0,7
27,0,7
28,0,7
29,0,7
30,0,7
31,1,7
32,0,7
33,0,7
34,0,7
35,0,7
36,2,7
37,0,7
38,0,7
39,0,8
40,2,7
41,0,7
0,4,7
1,3,8
2,3,7
3,3,7
4,4,7
5,1,7
6,1,7
7,2,7
8,0,7
9,0,7
10,0,7
11,2,7
12,1,7
13,0,7
14,0,7
15,0,7
16,1,7
17,0,7
18,2,7
19,0,7
20,0,7
21,0,7
22,1,7
23,1,7
24,0,8
25,2,7
26,0,7
27,0,7
28,0,7
29,0,7
30,0,7
31,0,7
32,1,7
33,0,7
34,0,7
35,1,7
36,4,7
37,0,7
38,1,7
39,2,7
40,0,7
41,0,7
